Time, Global Time,Voltage
µsec, lmao,V
483871940,0/0/0_0:0:0.0,126
484881936,0/0/0_0:0:0.0,126
485887879,0/0/0_0:0:0.0,126
486901939,0/0/0_0:0:0.0,125
487911928,0/0/0_0:0:0.0,124
488931923,0/0/0_0:0:0.0,125
489941927,0/0/0_0:0:0.0,126
490951932,0/0/0_0:0:0.0,126
491961937,0/0/0_0:0:0.0,125
492971920,0/0/0_0:0:0.0,125
493991925,0/0/0_0:0:0.0,125
495001925,0/0/0_0:0:0.0,124
496011939,0/0/0_0:0:0.0,126
497021937,0/0/0_0:0:0.0,125
498031919,0/0/0_0:0:0.0,125
499041930,0/0/0_0:0:0.0,125
500051925,0/0/0_0:0:0.0,120
501071939,0/0/0_0:0:0.0,125
502081930,0/0/0_0:0:0.0,125
503101921,0/0/0_0:0:0.0,125
504111934,0/0/0_0:0:0.0,124
505121925,0/0/0_0:0:0.0,125
506131925,0/0/0_0:0:0.0,124
507137016,0/0/0_0:0:0.0,125
508151935,0/0/0_0:0:0.0,125
509161934,0/0/0_0:0:0.0,126
510171932,0/0/0_0:0:0.0,125
511181934,0/0/0_0:0:0.0,125
512201932,0/0/0_0:0:0.0,125
513211923,0/0/0_0:0:0.0,125
514221938,0/0/0_0:0:0.0,125
515231940,0/0/0_0:0:0.0,126
516241939,0/0/0_0:0:0.0,125
517261935,0/0/0_0:0:0.0,125
518271926,0/0/0_0:0:0.0,125
519281933,0/0/0_0:0:0.0,125
520291941,0/0/0_0:0:0.0,125
521301941,0/0/0_0:0:0.0,125
522321932,0/0/0_0:0:0.0,124
523331925,0/0/0_0:0:0.0,124
524351940,0/0/0_0:0:0.0,124
525361936,0/0/0_0:0:0.0,124
526371938,0/0/0_0:0:0.0,125
527381934,0/0/0_0:0:0.0,124
528391937,0/0/0_0:0:0.0,125
529401929,0/0/0_0:0:0.0,125
530411935,0/0/0_0:0:0.0,125
531421934,0/0/0_0:0:0.0,125
532431935,0/0/0_0:0:0.0,124
533441929,0/0/0_0:0:0.0,124
534451935,0/0/0_0:0:0.0,125
535461928,0/0/0_0:0:0.0,125
536471935,0/0/0_0:0:0.0,125
537481932,0/0/0_0:0:0.0,125
538491926,0/0/0_0:0:0.0,124
539501936,0/0/0_0:0:0.0,125
540511941,0/0/0_0:0:0.0,124
541521938,0/0/0_0:0:0.0,124
542531937,0/0/0_0:0:0.0,123
543541933,0/0/0_0:0:0.0,125
544548003,0/0/0_0:0:0.0,125
545561932,0/0/0_0:0:0.0,125
546571922,0/0/0_0:0:0.0,125
547581933,0/0/0_0:0:0.0,125
548591932,0/0/0_0:0:0.0,124
549597592,0/0/0_0:0:0.0,125
550611940,0/0/0_0:0:0.0,125
551621934,0/0/0_0:0:0.0,124
552641941,0/0/0_0:0:0.0,125
553651932,0/0/0_0:0:0.0,125
554661934,0/0/0_0:0:0.0,124
555671927,0/0/0_0:0:0.0,125
556681933,0/0/0_0:0:0.0,124
557701937,0/0/0_0:0:0.0,124
558711924,0/0/0_0:0:0.0,124
559721927,0/0/0_0:0:0.0,125
560731934,0/0/0_0:0:0.0,115
561737629,0/0/0_0:0:0.0,125
562751919,0/0/0_0:0:0.0,125
563761923,0/0/0_0:0:0.0,126
564781919,0/0/0_0:0:0.0,125
565791938,0/0/0_0:0:0.0,125
566811925,0/0/0_0:0:0.0,125
567827237,0/0/0_0:0:0.0,125
568837890,0/0/0_0:0:0.0,125
569881934,0/0/0_0:0:0.0,125
570911925,0/0/0_0:0:0.0,125
571981936,0/0/0_0:0:0.0,125
573001926,0/0/0_0:0:0.0,125
574021936,0/0/0_0:0:0.0,125
575031937,0/0/0_0:0:0.0,125
576051929,0/0/0_0:0:0.0,125
577061938,0/0/0_0:0:0.0,125
578071932,0/0/0_0:0:0.0,125
579081927,0/0/0_0:0:0.0,124
580091935,0/0/0_0:0:0.0,122
581111934,0/0/0_0:0:0.0,123
582121925,0/0/0_0:0:0.0,123
583131937,0/0/0_0:0:0.0,124
584141938,0/0/0_0:0:0.0,124
585161929,0/0/0_0:0:0.0,125
